                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.87642,                 0.7654,                 1.0587,                0.88091,                0.78238,                0.86426,                0.70792,                0.78398,                0.58692,                0.95265,             6.5986e-05,             6.5986e-05,             6.5986e-05
                     48,                0.85939,                0.75391,                 1.0549,                0.88346,                0.78214,                0.86561,                0.70665,                0.78132,                0.58144,                 0.9519,             6.4807e-05,             6.4807e-05,             6.4807e-05
                     49,                0.92122,                0.78991,                 1.0679,                0.86662,                0.79891,                0.86605,                0.70789,                0.77819,                0.57953,                0.94983,             6.3629e-05,             6.3629e-05,             6.3629e-05
                     50,                0.84441,                0.75828,                 1.0346,                0.83017,                0.82669,                0.87539,                 0.7136,                0.77709,                 0.5781,                0.94784,             6.2451e-05,             6.2451e-05,             6.2451e-05
                     51,                0.90517,                0.78357,                 1.0495,                0.85159,                0.81909,                0.87652,                0.71392,                0.77796,                0.57764,                0.94656,             6.1273e-05,             6.1273e-05,             6.1273e-05
                     52,                0.85947,                0.71551,                 1.0367,                0.86856,                0.81185,                0.87125,                0.71336,                0.77759,                0.57608,                0.94568,             6.0095e-05,             6.0095e-05,             6.0095e-05
                     53,                0.88895,                0.75506,                 1.0429,                0.88993,                0.79832,                0.87092,                0.71464,                0.77262,                 0.5744,                0.94442,             5.8917e-05,             5.8917e-05,             5.8917e-05
                     54,                0.89053,                 0.7639,                  1.039,                0.89824,                0.80193,                0.87579,                0.71825,                0.77001,                0.57262,                 0.9437,             5.7739e-05,             5.7739e-05,             5.7739e-05
                     55,                0.86189,                0.74735,                 1.0435,                0.90117,                0.79934,                0.87629,                0.71875,                0.76516,                 0.5676,                0.94182,             5.6561e-05,             5.6561e-05,             5.6561e-05
                     56,                 0.8906,                0.75647,                 1.0533,                 0.9075,                0.80101,                0.87778,                 0.7202,                0.76046,                0.56334,                0.94021,             5.5383e-05,             5.5383e-05,             5.5383e-05
                     57,                0.85738,                0.75517,                  1.045,                0.89712,                0.80526,                0.87947,                0.71939,                0.75846,                0.55955,                0.93994,             5.4204e-05,             5.4204e-05,             5.4204e-05
                     58,                 0.8779,                0.73403,                 1.0473,                0.89706,                0.80602,                0.87994,                0.72242,                0.75535,                0.55696,                0.93858,             5.3026e-05,             5.3026e-05,             5.3026e-05
                     59,                0.85516,                0.71801,                 1.0376,                 0.9001,                0.80836,                0.88009,                0.72494,                0.75343,                0.55455,                0.93776,             5.1848e-05,             5.1848e-05,             5.1848e-05
                     60,                 0.8713,                0.74004,                 1.0489,                0.89585,                0.81003,                0.88115,                0.72871,                0.75111,                0.55245,                0.93662,              5.067e-05,              5.067e-05,              5.067e-05
                     61,                 0.8643,                 0.7395,                 1.0668,                0.90688,                0.80871,                0.88254,                 0.7293,                0.74884,                0.55007,                0.93569,             4.9492e-05,             4.9492e-05,             4.9492e-05
                     62,                  0.854,                0.72858,                 1.0348,                  0.895,                0.81235,                0.88162,                0.73213,                0.74699,                0.54775,                0.93487,             4.8314e-05,             4.8314e-05,             4.8314e-05
                     63,                0.89662,                0.74164,                 1.0473,                0.89225,                0.81156,                0.88253,                0.73109,                0.74445,                0.54608,                0.93377,             4.7136e-05,             4.7136e-05,             4.7136e-05
                     64,                0.84703,                0.71769,                 1.0351,                0.89814,                0.81341,                0.88301,                0.73285,                0.74357,                0.54632,                0.93264,             4.5958e-05,             4.5958e-05,             4.5958e-05
                     65,                0.83759,                0.71881,                 1.0354,                0.89979,                0.81253,                0.88195,                 0.7315,                0.74158,                0.54534,                0.93209,              4.478e-05,              4.478e-05,              4.478e-05
                     66,                0.83034,                  0.698,                  1.022,                0.90275,                0.80924,                0.87652,                0.73112,                0.73875,                0.54274,                0.93099,             4.3602e-05,             4.3602e-05,             4.3602e-05
